user_id,date,sessions,pages_visited,time_spent,churn_flag
user_522,2025-12-01,1,2,350,0
user_942,2025-12-01,0,9,579,0
user_742,2025-12-01,0,1,347,0
user_981,2025-12-01,3,3,576,0
user_412,2025-12-01,1,8,258,0
user_680,2025-12-01,0,5,194,0
user_674,2025-12-01,1,4,71,0
user_514,2025-12-01,1,3,451,0
user_774,2025-12-01,1,1,254,0
user_137,2025-12-01,1,8,68,0
user_890,2025-12-01,2,4,44,0
user_77,2025-12-01,1,4,186,0
user_740,2025-12-01,0,5,440,0
user_807,2025-12-01,0,6,551,0
user_940,2025-12-01,1,4,245,0
user_901,2025-12-01,1,4,159,0
user_281,2025-12-01,1,5,40,1
user_885,2025-12-01,0,6,52,0
user_573,2025-12-01,1,8,239,0
user_320,2025-12-01,0,4,353,0
user_550,2025-12-01,0,1,407,0
user_175,2025-12-01,0,8,326,1
user_372,2025-12-01,1,5,375,0
user_528,2025-12-01,0,9,30,1
user_211,2025-12-01,1,5,460,0
user_236,2025-12-01,0,4,342,0
user_102,2025-12-01,0,4,566,1
user_988,2025-12-01,2,1,208,0
user_904,2025-12-01,1,5,190,0
user_768,2025-12-01,1,2,498,0
user_347,2025-12-01,2,6,505,0
user_140,2025-12-01,0,7,170,0
user_623,2025-12-01,1,1,458,0
user_500,2025-12-01,2,3,204,0
user_371,2025-12-01,1,6,293,0
user_199,2025-12-01,1,3,191,0
user_653,2025-12-01,0,2,420,0
user_586,2025-12-01,0,7,472,0
user_864,2025-12-01,1,5,80,0
user_60,2025-12-01,0,2,125,1
user_329,2025-12-01,4,7,36,0
user_97,2025-12-01,2,3,577,0
user_313,2025-12-01,3,2,500,0
user_976,2025-12-01,1,9,255,0
user_300,2025-12-01,0,6,393,0
user_278,2025-12-01,3,1,144,0
user_926,2025-12-01,2,9,307,0
user_603,2025-12-01,2,7,104,0
user_440,2025-12-01,2,2,46,0
user_952,2025-12-01,1,5,371,0
user_693,2025-12-01,3,9,484,0
user_881,2025-12-01,1,2,392,0
user_262,2025-12-01,0,3,58,0
user_658,2025-12-01,0,4,142,0
user_24,2025-12-01,2,8,435,0
user_31,2025-12-01,0,4,177,0
user_619,2025-12-01,3,9,183,0
user_11,2025-12-01,0,8,46,0
user_222,2025-12-01,2,3,160,0
user_912,2025-12-01,0,3,507,0
user_297,2025-12-01,0,5,73,0
user_55,2025-12-01,3,8,368,0
user_543,2025-12-01,2,6,229,0
user_210,2025-12-01,1,9,567,0
user_606,2025-12-01,2,5,115,0
user_735,2025-12-01,0,5,548,0
user_837,2025-12-01,4,7,431,0
user_868,2025-12-01,2,2,160,0
user_71,2025-12-01,0,7,393,0
user_544,2025-12-01,2,2,190,0
user_108,2025-12-01,1,7,199,1
user_494,2025-12-01,0,2,445,1
user_592,2025-12-01,0,4,58,0
user_823,2025-12-01,1,9,301,0
user_293,2025-12-01,2,7,369,0
user_290,2025-12-01,0,3,458,0
user_654,2025-12-01,0,4,175,0
user_40,2025-12-01,0,1,428,0
user_591,2025-12-01,1,5,90,0
user_308,2025-12-01,3,2,182,0
user_681,2025-12-01,0,8,339,0
